*************************
Information of currently running processes. 
*************************
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 17076, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RuntimeBroker.exe', 'vms': 2.49609375}
{'pid': 17200, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'PhoneExperienceHost.exe', 'vms': 85.7421875}
{'pid': 17220, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'HP.SystemControl.Background.exe', 'vms': 39.01953125}
{'pid': 17308, 'username': None, 'name': 'svchost.exe', 'vms': 1.7421875}
{'pid': 17416, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'pet.exe', 'vms': 1.52734375}
{'pid': 17508, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'Code.exe', 'vms': 10.6953125}
{'pid': 17548, 'username': None, 'name': 'svchost.exe', 'vms': 1.42578125}
{'pid': 17992, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'msedgewebview2.exe', 'vms': 2.3203125}
{'pid': 18580, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'cmd.exe', 'vms': 1.8671875}
{'pid': 18684, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'SecurityHealthSystray.exe', 'vms': 2.09375}
{'pid': 18724, 'username': None, 'name': 'SecurityHealthService.exe', 'vms': 8.55859375}
{'pid': 18748, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'conhost.exe', 'vms': 1.71875}
{'pid': 18760, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'RtkAudUService64.exe', 'vms': 26.2578125}
{'pid': 18968, 'username': None, 'name': 'mc-neo-host.exe', 'vms': 19.0703125}
{'pid': 19032, 'username': 'DESKTOP-BU7GJUF\\SUDEEP A KULKARNI', 'name': 'OneDrive.exe', 'vms': 104.87109375}
{'pid': 19172, 'username': None, 'name': 'svchost.exe', 'vms': 2.2109375}
